Resident_Type,Sq_Ft,Market_Rent,Lease_Charges,Security_Deposit,Other_Deposits,Num_Units,Pct_Unit_Occupancy,Pct_Sqft_Occupied,Balance,Property_ID,Property_Name,Report_Date
Current/Notice/Vacant Residents,0.0,0.0,57918.14,0.0,0.0,29,51.72,0.0,28615.51,143c,The Ellsworth,02/25/2026
Future Residents/Applicants,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,143c,The Ellsworth,02/25/2026
Occupied Units,0.0,0.0,0.0,0.0,0.0,15,51.72,0.0,0.0,143c,The Ellsworth,02/25/2026
Total Non Rev Units,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,143c,The Ellsworth,02/25/2026
Total Vacant Units,0.0,0.0,0.0,0.0,0.0,14,48.27,0.0,0.0,143c,The Ellsworth,02/25/2026
Current/Notice/Vacant Residents,262757.0,684747.0,515321.39,180789.03,0.0,211,92.89,92.88,21723.91,153r,Abbot Mill,02/25/2026
Future Residents/Applicants,5728.0,14755.0,0.0,0.0,0.0,5,0.0,0.0,0.0,153r,Abbot Mill,02/25/2026
Occupied Units,244053.0,634512.0,0.0,0.0,0.0,196,92.89,92.88,0.0,153r,Abbot Mill,02/25/2026
Total Non Rev Units,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,153r,Abbot Mill,02/25/2026
Total Vacant Units,18704.0,50235.0,0.0,0.0,0.0,15,7.1,7.11,0.0,153r,Abbot Mill,02/25/2026
Current/Notice/Vacant Residents,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,altapm,AltaPM,02/25/2026
Future Residents/Applicants,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,altapm,AltaPM,02/25/2026
Occupied Units,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,altapm,AltaPM,02/25/2026
Total Non Rev Units,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,altapm,AltaPM,02/25/2026
Total Vacant Units,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,altapm,AltaPM,02/25/2026
Current/Notice/Vacant Residents,22639.0,63954.0,29587.0,14982.0,0.0,23,82.6,83.02,9475.72,153a,Abbot Mill,02/25/2026
Future Residents/Applicants,1580.0,5253.0,0.0,0.0,0.0,2,0.0,0.0,0.0,153a,Abbot Mill,02/25/2026
Occupied Units,18797.0,52860.0,0.0,0.0,0.0,19,82.6,83.02,0.0,153a,Abbot Mill,02/25/2026
